,seed_id,filepath,instrument,IMT,pitch,dynamics,instrument family
0,8,Horns/Horn/ordinario/Hn-ord-B4-ff.wav,Hn,Hn-ord,B4,ff,Brass
1,8,Horns/Horn/ordinario/Hn-ord-C3-mf.wav,Hn,Hn-ord,C3,mf,Brass
2,8,Horns/Horn/ordinario/Hn-ord-B3-ff.wav,Hn,Hn-ord,B3,ff,Brass
3,8,Horns/Horn/ordinario/Hn-ord-C5-mf.wav,Hn,Hn-ord,C5,mf,Brass
4,8,Horns/Horn/ordinario/Hn-ord-G3-ff.wav,Hn,Hn-ord,G3,ff,Brass
5,8,Horns/Horn/ordinario/Hn-ord-C#4-pp.wav,Hn,Hn-ord,C#4,pp,Brass
6,8,Horns/Horn/ordinario/Hn-ord-D3-mf.wav,Hn,Hn-ord,D3,mf,Brass
7,8,Horns/Horn/ordinario/Hn-ord-B3-mf.wav,Hn,Hn-ord,B3,mf,Brass
8,8,Horns/Horn/ordinario/Hn-ord-C#3-mf.wav,Hn,Hn-ord,C#3,mf,Brass
9,8,Horns/Horn/ordinario/Hn-ord-F3-mf.wav,Hn,Hn-ord,F3,mf,Brass
10,8,Horns/Horn/ordinario/Hn-ord-C4-pp.wav,Hn,Hn-ord,C4,pp,Brass
11,8,Horns/Horn/ordinario/Hn-ord-E4-pp.wav,Hn,Hn-ord,E4,pp,Brass
12,8,Horns/Horn/ordinario/Hn-ord-A3-pp.wav,Hn,Hn-ord,A3,pp,Brass
13,8,Horns/Horn/ordinario/Hn-ord-F#4-ff.wav,Hn,Hn-ord,F#4,ff,Brass
14,8,Horns/Horn/ordinario/Hn-ord-G3-pp.wav,Hn,Hn-ord,G3,pp,Brass
15,8,Horns/Horn/ordinario/Hn-ord-C4-mf.wav,Hn,Hn-ord,C4,mf,Brass
16,8,Horns/Horn/ordinario/Hn-ord-F#3-pp.wav,Hn,Hn-ord,F#3,pp,Brass
17,8,Horns/Horn/ordinario/Hn-ord-D#3-ff.wav,Hn,Hn-ord,D#3,ff,Brass
18,8,Horns/Horn/ordinario/Hn-ord-G#4-ff.wav,Hn,Hn-ord,G#4,ff,Brass
19,8,Horns/Horn/ordinario/Hn-ord-C#3-ff.wav,Hn,Hn-ord,C#3,ff,Brass
20,8,Horns/Horn/ordinario/Hn-ord-G4-pp.wav,Hn,Hn-ord,G4,pp,Brass
21,8,Horns/Horn/ordinario/Hn-ord-D#4-ff.wav,Hn,Hn-ord,D#4,ff,Brass
22,8,Horns/Horn/ordinario/Hn-ord-A4-pp.wav,Hn,Hn-ord,A4,pp,Brass
23,8,Horns/Horn/ordinario/Hn-ord-E4-ff.wav,Hn,Hn-ord,E4,ff,Brass
24,8,Horns/Horn/ordinario/Hn-ord-C#4-ff.wav,Hn,Hn-ord,C#4,ff,Brass
25,8,Horns/Horn/ordinario/Hn-ord-A#3-mf.wav,Hn,Hn-ord,A#3,mf,Brass
26,8,Horns/Horn/ordinario/Hn-ord-C3-pp.wav,Hn,Hn-ord,C3,pp,Brass
27,8,Horns/Horn/ordinario/Hn-ord-A3-ff.wav,Hn,Hn-ord,A3,ff,Brass
28,8,Horns/Horn/ordinario/Hn-ord-F#3-mf.wav,Hn,Hn-ord,F#3,mf,Brass
29,8,Horns/Horn/ordinario/Hn-ord-E3-mf.wav,Hn,Hn-ord,E3,mf,Brass
30,8,Horns/Horn/ordinario/Hn-ord-F4-ff.wav,Hn,Hn-ord,F4,ff,Brass
31,8,Horns/Horn/ordinario/Hn-ord-D#4-pp.wav,Hn,Hn-ord,D#4,pp,Brass
32,8,Horns/Horn/ordinario/Hn-ord-F#3-ff.wav,Hn,Hn-ord,F#3,ff,Brass
33,8,Horns/Horn/ordinario/Hn-ord-A4-mf.wav,Hn,Hn-ord,A4,mf,Brass
34,8,Horns/Horn/ordinario/Hn-ord-A#4-ff.wav,Hn,Hn-ord,A#4,ff,Brass
35,8,Horns/Horn/ordinario/Hn-ord-G4-mf.wav,Hn,Hn-ord,G4,mf,Brass
36,8,Horns/Horn/ordinario/Hn-ord-A#4-pp.wav,Hn,Hn-ord,A#4,pp,Brass
37,8,Horns/Horn/ordinario/Hn-ord-D#4-mf.wav,Hn,Hn-ord,D#4,mf,Brass
38,8,Horns/Horn/ordinario/Hn-ord-F4-pp.wav,Hn,Hn-ord,F4,pp,Brass
39,8,Horns/Horn/ordinario/Hn-ord-G4-ff.wav,Hn,Hn-ord,G4,ff,Brass
40,8,Horns/Horn/ordinario/Hn-ord-E3-ff.wav,Hn,Hn-ord,E3,ff,Brass
